INFO 2024-10-18 10:04:25,633 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-18 10:04:25,634 autoreload Waiting for apps ready_event.
DEBUG 2024-10-18 10:04:29,347 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-18 10:04:29,413 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-10-18 10:04:29,413 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/drf_spectacular/templates with glob **/*.
DEBUG 2024-10-18 10:04:29,413 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/djoser/templates with glob **/*.
DEBUG 2024-10-18 10:04:29,414 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,414 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,414 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/djoser/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,414 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,414 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/drf_spectacular/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,414 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/account/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,414 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/customerend/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,414 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/cafeadminend/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,414 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/menu/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,415 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/cart/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,415 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/order/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,415 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/payment/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,415 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/review/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,415 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/notification/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,415 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/rewards/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,416 autoreload Watching dir /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/dinning/locale with glob **/*.mo.
DEBUG 2024-10-18 10:04:29,630 autoreload File /usr/lib/python3.10/http/cookiejar.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,630 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/staticfiles/management/__init__.py first seen with mtime 1728116266.6487863
DEBUG 2024-10-18 10:04:29,631 autoreload File /usr/lib/python3.10/copy.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,631 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/_virtualenv.py first seen with mtime 1728116108.0708125
DEBUG 2024-10-18 10:04:29,631 autoreload File /usr/lib/python3.10/logging/handlers.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,631 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/drf_spectacular/authentication.py first seen with mtime 1728116269.5408423
DEBUG 2024-10-18 10:04:29,631 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/db/backends/base/features.py first seen with mtime 1728116266.6717868
DEBUG 2024-10-18 10:04:29,631 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/rewards/urls.py first seen with mtime 1729072486.364861
DEBUG 2024-10-18 10:04:29,631 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/yaml/scanner.py first seen with mtime 1728116261.7426913
DEBUG 2024-10-18 10:04:29,631 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1728116266.6477861
DEBUG 2024-10-18 10:04:29,631 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/db/backends/base/base.py first seen with mtime 1728116266.6707866
DEBUG 2024-10-18 10:04:29,631 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/drf_spectacular/drainage.py first seen with mtime 1728116269.5418422
DEBUG 2024-10-18 10:04:29,631 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/admin/templatetags/admin_modify.py first seen with mtime 1728116266.2047777
DEBUG 2024-10-18 10:04:29,631 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/order/views.py first seen with mtime 1728917096.3847618
DEBUG 2024-10-18 10:04:29,631 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/djoser/__init__.py first seen with mtime 1728116269.9308498
DEBUG 2024-10-18 10:04:29,631 autoreload File /usr/lib/python3.10/fractions.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,631 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/core/management/sql.py first seen with mtime 1728116266.6617866
DEBUG 2024-10-18 10:04:29,631 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/idna/idnadata.py first seen with mtime 1728116262.8807132
DEBUG 2024-10-18 10:04:29,632 autoreload File /usr/lib/python3.10/sre_constants.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/utils/choices.py first seen with mtime 1728116266.7277877
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/menu/models.py first seen with mtime 1729073442.3106048
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/urls/base.py first seen with mtime 1728116266.7257876
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/review/serializers.py first seen with mtime 1728921210.0638752
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/rest_framework/utils/representation.py first seen with mtime 1728116268.849829
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/cafeadminend/models.py first seen with mtime 1729072486.362861
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/admin/templatetags/base.py first seen with mtime 1728116266.2057776
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/sqlparse/lexer.py first seen with mtime 1728116261.414685
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/yaml/serializer.py first seen with mtime 1728116261.7926922
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/db/models/functions/datetime.py first seen with mtime 1728116266.693787
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/charset_normalizer/md.cpython-310-x86_64-linux-gnu.so first seen with mtime 1728116264.1937387
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/notification/serializers.py first seen with mtime 1729066881.0556436
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/drf_spectacular/generators.py first seen with mtime 1728116269.5428424
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/customerend/serializers.py first seen with mtime 1728921210.0618753
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/db/migrations/exceptions.py first seen with mtime 1728116266.6817868
DEBUG 2024-10-18 10:04:29,632 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1728116266.6487863
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/template/loaders/filesystem.py first seen with mtime 1728116266.7217877
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/drf_spectacular/contrib/rest_framework_simplejwt.py first seen with mtime 1728116269.5598426
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/urllib3/http2/__init__.py first seen with mtime 1728116260.9666762
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/urllib3/contrib/__init__.py first seen with mtime 1728116260.9636762
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/utils/text.py first seen with mtime 1728116266.7337878
DEBUG 2024-10-18 10:04:29,633 autoreload File /usr/lib/python3.10/xml/dom/__init__.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/drf_spectacular/types.py first seen with mtime 1728116269.5508425
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/account/permissions.py first seen with mtime 1728906335.696872
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/yaml/resolver.py first seen with mtime 1728116261.7936924
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/postgres/forms/hstore.py first seen with mtime 1728116266.4977834
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/rest_framework/schemas/generators.py first seen with mtime 1728116268.8188283
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/contenttypes/models.py first seen with mtime 1728116266.3087797
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/db/migrations/operations/base.py first seen with mtime 1728116266.684787
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/djoser/urls/base.py first seen with mtime 1728116269.94185
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/db/models/sql/constants.py first seen with mtime 1728116266.6957872
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/rest_framework/utils/__init__.py first seen with mtime 1728116268.8478289
